Cat,Grp,Acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Bolig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,Faste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Boliglån,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Husforsikring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Renovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Skortstensfejer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Grundejer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Ejendomsskat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Ejendomsværdiskat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,indboforsikring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Opmagasinering,SHURGARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,Husleje,A/B FLENSBORGHUS Aftalenr. 702144574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,Forbrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Vand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Elektricitet,KØBENHAVNS ENERGI,Betalingsservice DONG ENERGY A/S Aftalenr. 839629115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Reparation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,hustag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,huskonstruktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,husinstallationer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,Indkøb + div,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Indretning,IKEA, ILVA ,IDDESIGN LOGISTIKC,RØDOVRE ISENKRAM,BRINCK ELEKTRONIK,STOF & STIL,ILLUM,IMERCO,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,hjælpemidler,MAGASIN/FOG,SILVAN,VESTERBRO KONTORFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
