Dato;Tekst;Beløb;Afstem;Saldo;Rentedato
15-08-2013;Overførsel div;-1.000,00;N;12.512,75;15-08-2013
13-08-2013;REFUSION AF UDGIFTER;3.148,00;N;13.512,75;13-08-2013
12-08-2013;Overførsel div;-4.000,00;N;10.364,75;12-08-2013
05-08-2013;Indb.kort Bilhus A;-125,00;N;14.364,75;05-08-2013
05-08-2013;Overførsel Gryder+KSSkærm;-3.000,00;N;14.489,75;05-08-2013
01-08-2013;Overførsel Budget;-13.500,00;N;17.489,75;01-08-2013
31-07-2013;LØNOVERFØRSEL;30.246,29;N;30.989,75;31-07-2013
19-07-2013;Indb.kort Gyldendal;-228,95;N;743,46;19-07-2013
08-07-2013;Overførsel Metro;-2.000,00;N;972,41;08-07-2013
05-07-2013;Overførsel tv;-6.000,00;N;2.972,41;05-07-2013
03-07-2013;Overførsel Div;-2.500,00;N;8.972,41;03-07-2013
01-07-2013;Overførsel Budget;-13.500,00;N;11.472,41;01-07-2013
01-07-2013;Overførsel Div;-3.000,00;N;24.972,41;01-07-2013
28-06-2013;Overførsel Div;-2.000,00;N;27.972,41;28-06-2013
28-06-2013;LØNOVERFØRSEL;29.951,59;N;29.972,41;28-06-2013
25-06-2013;Overførsel Div;-4.550,00;N;20,82;25-06-2013
17-06-2013;Overførsel Kortkassen;-1.204,00;N;4.570,82;17-06-2013
17-06-2013;Overførsel FCK kort;-1.910,00;N;5.774,82;17-06-2013
17-06-2013;Overførsel Protools;-3.000,00;N;7.684,82;17-06-2013
14-06-2013;Overførsel z;-1.500,00;N;10.684,82;14-06-2013
11-06-2013;Indb.kort Restforbrug, G2;-687,80;N;12.184,82;11-06-2013
11-06-2013;Overførsel Jesper græs hos mor;-500,00;N;12.872,62;11-06-2013
11-06-2013;Overførsel Div;-2.500,00;N;13.372,62;11-06-2013
03-06-2013;Overførsel Budget;-13.500,00;N;15.872,62;03-06-2013
31-05-2013;LØNOVERFØRSEL;29.156,59;N;29.372,62;31-05-2013
21-05-2013;Overførsel Flyt div;-3.200,00;N;216,03;21-05-2013
15-05-2013;Overførsel Div;-3.500,00;N;3.416,03;15-05-2013
15-05-2013;Overførsel Shurgard, rest;-100,00;N;6.916,03;15-05-2013
08-05-2013;Overførsel Zone;-1.000,00;N;7.016,03;08-05-2013
08-05-2013;Overførsel Div;-5.000,00;N;8.016,03;08-05-2013
08-05-2013;Indb.kort Telia maj;-338,00;N;13.016,03;08-05-2013
08-05-2013;Overførsel Shurgard maj;-1.966,00;N;13.354,03;08-05-2013
