Dato;Tekst;Beløb;Afstem;Saldo;Rentedato
16-08-2013;DK-NOTA50785 SUPERBEST, ØSTERBR;-405,85;N;-373,47;16-08-2013
16-08-2013;DK-NOTA18486 WWW.TAENK.DK/SHOP;-619,00;N;32,38;16-08-2013
15-08-2013;DK-NOTA63675 NETTO SØLVGADE;-214,57;N;651,38;15-08-2013
15-08-2013;DK-NOTA32407 ØKO-BAGERIET;-23,00;N;865,95;15-08-2013
15-08-2013;Overførsel div;1.000,00;N;888,95;15-08-2013
14-08-2013;DK-NOTA94049 IRMA 23082;-113,00;N;-111,05;14-08-2013
13-08-2013;DK-NOTA94831 IRMA STENGÅRDS A;-141,00;N;1,95;13-08-2013
12-08-2013;DK-NOTA96243 IRMA RØDOVRECENT.;-261,50;N;142,95;12-08-2013
12-08-2013;Overførsel div;4.000,00;N;404,45;12-08-2013
09-08-2013;DK-NOTA62273 SUPERBEST, ØSTERBR;-397,20;N;-3.595,55;09-08-2013
09-08-2013;DK-NOTA18996 SHELL SERVICE-1069;-580,43;N;-3.198,35;09-08-2013
08-08-2013;DK-NOTA27911 IRMA LYNGBYHOVEDG.;-92,50;N;-2.617,92;08-08-2013
08-08-2013;DK-NOTA  171 LYNGBY SVANE APOTE;-1.303,00;N;-2.525,42;08-08-2013
08-08-2013;DK-NOTA86836 MUSIK-CONDITORIET;-59,00;N;-1.222,42;08-08-2013
07-08-2013;Automat  845 NORDEA BANK DANMAR;-500,00;N;-1.163,42;07-08-2013
06-08-2013;DK-NOTA54439 TV 2/DANMARK;-119,00;N;-663,42;06-08-2013
06-08-2013;DK-NOTA  420 ELGIGANTEN 3031;-2.098,00;N;-544,42;06-08-2013
06-08-2013;DK-NOTA 3280 REMA 1000 STENGÅRD;-75,70;N;1.553,58;06-08-2013
06-08-2013;APPLE;-24,00;N;1.629,28;06-08-2013
06-08-2013;APPLE;-189,00;N;1.653,28;06-08-2013
05-08-2013;DK-NOTA13521 STICKS N SUSHI A/S;-567,00;N;1.842,28;05-08-2013
05-08-2013;DK-NOTA74754 IRMA RØDOVRECENT.;-152,00;N;2.409,28;05-08-2013
05-08-2013;DK-NOTA88821 OKHOLM FOTO;-498,00;N;2.561,28;05-08-2013
05-08-2013;DK-NOTA73044 IMERCO RØDOVRE;-479,85;N;3.059,28;05-08-2013
05-08-2013;DK-NOTA53501 DK HOSTMASTER A/S;-45,00;N;3.539,13;05-08-2013
05-08-2013;Overførsel Gryder+KSSkærm;3.000,00;N;3.584,13;05-08-2013
02-08-2013;DK-NOTA29766 KVICKLY BUDDINGE;-169,85;N;584,13;02-08-2013
02-08-2013;DK-NOTA21865 2418 APCOA PARKING;-14,50;N;753,98;02-08-2013
01-08-2013;DK-NOTA22629 IRMA LYNGBYHOVEDG.;-368,00;N;768,48;01-08-2013
01-08-2013;DK-NOTA30958 LYNGBY SVANE APOTE;-339,40;N;1.136,48;01-08-2013
01-08-2013;DK-NOTA13431 STICKS N SUSHI A/S;-506,00;N;1.475,88;01-08-2013
31-07-2013;WWW.NETFLIX.COM;-79,00;N;1.981,88;31-07-2013
30-07-2013;DK-NOTA  524 TRYG FORSIKRING A/;-10,50;N;2.060,88;30-07-2013
29-07-2013;DK-NOTA 3057 7-ELEVEN B 438;-598,58;N;2.071,38;29-07-2013
29-07-2013;DK-NOTA10087 Q8 SERVICE - 8037;-149,95;N;2.669,96;29-07-2013
29-07-2013;DK-NOTAN5191 TELMORE A/S;-201,39;N;2.819,91;29-07-2013
29-07-2013;DK-NOTA55152 KVICKLY BUDDINGE;-159,34;N;3.021,30;29-07-2013
26-07-2013;DK-NOTA13554 PARKERING KBH KA;-20,50;N;3.180,64;26-07-2013
26-07-2013;DK-NOTA13552 PARKERING KBH KA;-45,50;N;3.201,14;26-07-2013
25-07-2013;DK-NOTA 5709 METRO GLOSTRUP;-974,24;N;3.246,64;25-07-2013
25-07-2013;DK-NOTA61500 SILVAN GLADSAXE;-41,90;N;4.220,88;25-07-2013
24-07-2013;DK-NOTA 2813 ELGIGANTEN A/S;-813,00;N;4.262,78;24-07-2013
24-07-2013;WWW.NETFLIX.COM;-79,00;N;5.075,78;24-07-2013
23-07-2013;DK-NOTA 5703 VIAPLAY;-199,00;N;5.154,78;23-07-2013
22-07-2013;DK-NOTA  878 NEMLIG.COM;-688,35;N;5.353,78;22-07-2013
22-07-2013;APPLE;-35,00;N;6.042,13;22-07-2013
19-07-2013;DK-NOTA75054 IKEA - 121, ECO;-1.155,00;N;6.077,13;19-07-2013
19-07-2013;DK-NOTA81514 SILVAN GLADSAXE;-221,80;N;7.232,13;19-07-2013
18-07-2013;DK-NOTA 6150 REMA 1000 STENGÅRD;-166,58;N;7.453,93;18-07-2013
17-07-2013;DK-NOTA53553 PARKERING KBH NV-G;-25,50;N;7.620,51;17-07-2013
17-07-2013;DK-NOTA84030 CAFE BANKERÅT;-31,00;N;7.646,01;17-07-2013
17-07-2013;DK-NOTA31701 TELIA.DK;-348,00;N;7.677,01;17-07-2013
15-07-2013;DK-NOTA85235 SPAR ORDRUP;-88,85;N;8.025,01;15-07-2013
12-07-2013;DK-NOTA84562 SPAR ORDRUP;-222,85;N;8.113,86;12-07-2013
12-07-2013;DK-NOTA74412 REJSEKORT-WEBSALG;-300,00;N;8.336,71;12-07-2013
12-07-2013;APPLE;-64,00;N;8.636,71;12-07-2013
12-07-2013;APPLE;-8,00;N;8.700,71;12-07-2013
12-07-2013;HBONORDIC.COM;-79,00;N;8.708,71;12-07-2013
11-07-2013;DK-NOTA  661 DANSK SHELL- 1633;-484,70;N;8.787,71;11-07-2013
11-07-2013;OVERSKYDENDE SKAT;6.627,00;N;9.272,41;11-07-2013
11-07-2013;INDDÆK;4.000,00;N;2.645,41;11-07-2013
10-07-2013;DK-NOTA31880 PARKERING KBH IN;-17,50;N;-1.354,59;10-07-2013
10-07-2013;DK-NOTA44206 MJ COFFEE;-53,00;N;-1.337,09;10-07-2013
10-07-2013;DK-NOTA44204 MJ COFFEE;-176,00;N;-1.284,09;10-07-2013
10-07-2013;DK-NOTA20591 SAKURA;-300,00;N;-1.108,09;10-07-2013
